Sectors,Courses,Students,Careers
Managers,Pengurusan Perniagaan,0,11
Professional,Perakaunan,108,137
,Sistem Komputer & Rangkaian,55,
,Perkhidmatan Terapi Estetik (MP-060-3:2013),5,
Technician & Associate Professional,Kosmetologi,109,35
,Teknologi Automotif,112,
,Teknologi Elektrik,123,
,Teknologi Elektronik,118,
,Teknologi Kimpalan,90,
,"Troubleshouting, Pembaikpulihan dan Penyelenggaraan Peralatan Elektronik",,
Clerical Support Workers,Kerani Audit,0,42
Service & Sales Workers,Bakery Dan Pastri,0,1271
,Pelancongan,0,
,Penyediaan & Pembuatan Makanan,23,
"Skilled Agricultural, Forestry & Fishery Workers",,0,20
Craft & Related Trade Workers,Fesyen Dan Membuat Pakaian,163,951
,Seni Kulinari,187,
,Operasi Pembuatan Perabot (Rb-050-2/3:2012),0,
,Pemasangan & Penyelenggaraan Elektrik-Tiga Fasa (EE-320-3:2012),42,
,Pembuat Pakaian Wanita,7,
,Penyeliaan Pemasangan & Penyelenggaraan HVAC,11,
Plant & Machine Operator & Assemblers,Teknologi Pembinaan,115,85
,Teknologi Pemesinan Industri,109,
,Teknologi Penyejukbekuan & Penyaman Udara,100,
,Pemesin Am,0,
Elementary Occupation,Pengajian Awal Kanak-Kanak,119,19123
TOTAL,,1596,21675